HSK 2 Vocabulary List,,,
Hanzi,Pinyin,English,Category
百,bǎi,hundred,Numberal
千,qiān,thousand,Numberal
第一,dìyī,first,Numberal
两,liǎng,two,Numberal
次,,number,Quantifier
张,zhāng,sheet,Quantifier
件,jiàn,piece,Quantifier
公斤,gōngjīn,kilogram,Quantifier
元,yuán,yuan,Quantifier
饭馆,fàndiàn,restaurant,Noun
机场,jīchǎng,airport,Noun
房间,fángjiān,room,Noun
教室,jiàoshì,classroom,Noun
颜色,yánsè,color,Noun
意思,yìsi,meaning,Noun
课,kè,lesson,Noun
考试,kǎoshì,exam,Noun
问题,wèntí,question,Noun
题,tí,topic,Noun
事情,shìqing,matter,Noun
鱼,yú,fish,Noun
鸡蛋,jīdàn,egg,Noun
牛奶,niúnǎi,milk,Noun
羊肉,yángròu,mutton,Noun
咖啡,kāfēi,coffee,Noun
西瓜,xīguā,watermelon,Noun
路,lù,road,Noun
左边,zuǒbiān,left,Noun
右边,yòubiān,right,Noun
旁边,pángbiān,side,Noun
外,wài,out,Noun
早上,zǎoshàng,morning,Noun
晚上,wǎnshàng,night,Noun
小时,xiǎoshí,hour,Noun
时间,shíjiān,time,Noun
去年,qùnián,last year,Noun
门,mén,door,Noun
报纸,bàozhǐ,newspaper,Noun
公共汽车,gōnggòngqìchē,bus,Noun
自行车,zìxíngchē,bike,Noun
船,chuán,boat,Noun
号,hào,number,Noun
生日,shēngrì,birthday,Noun
身体,shēntǐ,body,Noun
眼睛,yǎnjīng,eye,Noun
药,yào,medicine,Noun
姓,xìng,surname,Noun
哥哥,gēge,older brother,Noun
姐姐,jiějie,older sister,Noun
弟弟,dìdi,younger brother,Noun
妹妹,mèimei,younger sister,Noun
妻子,qīzi,wife,Noun
丈夫,zhàngfu,husband,Noun
女人,nǚrén,woman,Noun
男人,nánrén,man,Noun
孩子,háizi,child,Noun
服务员,fúwùyuán,waiter,Noun
手机,shǒujī,phone,Noun
手表,shǒubiǎo,watch,Noun
雪,xué,snow,Noun
票,piào,ticket,Noun
高,gāo,tall,Adjective
快,kuài,fast,Adjective
慢,màn,slow,Adjective
近,jìn,close,Adjective
远,yuǎn,far,Adjective
阴,yīn,cloudy,Adjective
好吃,hǎochī,delicious,Adjective
新,xīn,new,Adjective
累,lèi,tired,Adjective
快乐,kuàilè,happy,Adjective
长,cháng,long,Adjective
贵,guì,expensive,Adjective
便宜,piányi,cheap,Adjective
错,cuò,wrong,Adjective
晴,qíng,fine,Adjective
忙,máng,busy,Adjective
白,bái,white,Adjective
黑,hēi,black,Adjective
红,hóng,red,Adjective
欢迎,huānyíng,welcome,Verb
觉得,juéde,think,Verb
知道,zhīdào,know,Verb
懂,dǒng,understand,Verb
希望,xīwàng,hope,Verb
回答,huídá,answer,Verb
准备,zhǔnbèi,prepare,Verb
开始,kāishǐ,begin,Verb
完,wán,finish,Verb
等,děng,wait,Verb
帮助,bāngzhù,help,Verb
告诉,gàosù,tell,Verb
介绍,jièshào,introduce,Verb
跳舞,tiàowǔ,dance,Verb
唱歌,chànggē,sing,Verb
玩,wán,play,Verb
运动,yùndòng,exercise,Verb
游泳,yóuyǒng,swim,Verb
踢足球,tīzúqiú,play football,Verb
打篮球,dǎlánqiú,play basketball,Verb
走,zǒu,walk,Verb
跑步,pǎobù,run,Verb
进,jìn,enter,Verb
到,dào,arrive,Verb
找,zhǎo,find,Verb
问,wèn,ask,Verb
笑,xiào,smile,Verb
洗,xǐ,wash,Verb
给,gěi,give,Verb
穿,chuān,wear,Verb
送,sòng,present,Verb
让,ràng,let,Verb
起床,qǐchuáng,get up,Verb
休息,xiūxi,rest,Verb
上班,shàngbān,be on duty,Verb
生病,shēngbìng,fall ill,Verb
旅游,lǚyóu,travel,Verb
可能,kěnéng,may,Verb
要,yào,ask for,Verb
可以,kěyǐ,"ok, can",Verb
就,jiǜ,at once,Adverb
再,zài,again,Adverb
已经,yǐjīng,already,Adverb
别,bié,other,Adverb
也,yě,"likewise, too",Adverb
一起,yìqǐ,together,Adverb
正在,zhèngzài,be being,Adverb
非常,fēicháng,very,Adverb
最,zuì,most,Adverb
还,hái,still,Adverb
真,zhēn,real,Adverb
为什么,wèishénme,why,Pronum
大家,dàjiā,everyone,Pronum
您,nín,you,Pronum
它,tā,it,Pronum
每,měi,every,Pronum
因为,yīnwèi,because,Conjunction
但是,dànshì,but,Conjunction
所以,suǒyǐ,so,Conjunction
得,de,,Auxiliary
着,zhe,,Auxiliary
吧,ba,,Auxiliary
过,guo,,Auxiliary
离,lí,leave,Preposition
此,cǐ,this,Preposition
从,cóng,from,Preposition
向,xiàng,towards,Preposition
对,duì,"right, correct",Preposition